x0,x1,x2,y
7,6,8,62
7,7,8,63
0,0,9,0
0,1,9,1
0,2,9,2
0,3,9,3
0,4,9,4
0,5,9,5
0,6,9,6
0,7,9,7
0,8,9,8
1,0,9,9
1,1,9,10
1,2,9,11
1,3,9,12
1,4,9,13
1,5,9,14
1,6,9,15
1,7,9,16
1,8,9,17
2,0,9,18
2,1,9,19
2,2,9,20
2,3,9,21
2,4,9,22
2,5,9,23
2,6,9,24
2,7,9,25
2,8,9,26
3,0,9,27
3,1,9,28
3,2,9,29
3,3,9,30
3,4,9,31
3,5,9,32
3,6,9,33
3,7,9,34
3,8,9,35
4,0,9,36
4,1,9,37
4,2,9,38
4,3,9,39
4,4,9,40
4,5,9,41
4,6,9,42
4,7,9,43
4,8,9,44
5,0,9,45
5,1,9,46
5,2,9,47
5,3,9,48
5,4,9,49
5,5,9,50
5,6,9,51
5,7,9,52
5,8,9,53
6,0,9,54
6,1,9,55
6,2,9,56
6,3,9,57
6,4,9,58
6,5,9,59
6,6,9,60
6,7,9,61
6,8,9,62
7,0,9,63
7,1,9,64
7,2,9,65
7,3,9,66
7,4,9,67
7,5,9,68
7,6,9,69
7,7,9,70
7,8,9,71
8,0,9,72
8,1,9,73
8,2,9,74
8,3,9,75
8,4,9,76
8,5,9,77
8,6,9,78
8,7,9,79
8,8,9,80
0,0,10,0
0,1,10,1
0,2,10,2
0,3,10,3
0,4,10,4
0,5,10,5
0,6,10,6
0,7,10,7
0,8,10,8
0,9,10,9
1,0,10,10
1,1,10,11
1,2,10,12
1,3,10,13
1,4,10,14
1,5,10,15
1,6,10,16
1,7,10,17
1,8,10,18
1,9,10,19
2,0,10,20
2,1,10,21
2,2,10,22
2,3,10,23
2,4,10,24
2,5,10,25
2,6,10,26
2,7,10,27
2,8,10,28
2,9,10,29
3,0,10,30
3,1,10,31
3,2,10,32
3,3,10,33
3,4,10,34
3,5,10,35
3,6,10,36
3,7,10,37
3,8,10,38
3,9,10,39
4,0,10,40
4,1,10,41
4,2,10,42
4,3,10,43
4,4,10,44
4,5,10,45
4,6,10,46
4,7,10,47
4,8,10,48
4,9,10,49
5,0,10,50
5,1,10,51
5,2,10,52
5,3,10,53
5,4,10,54
5,5,10,55
5,6,10,56
5,7,10,57
5,8,10,58
5,9,10,59
6,0,10,60
6,1,10,61
6,2,10,62
6,3,10,63
6,4,10,64
6,5,10,65
6,6,10,66
6,7,10,67
6,8,10,68
6,9,10,69
7,0,10,70
7,1,10,71
7,2,10,72
7,3,10,73
7,4,10,74
7,5,10,75
7,6,10,76
7,7,10,77
7,8,10,78
7,9,10,79
8,0,10,80
8,1,10,81
8,2,10,82
8,3,10,83
8,4,10,84
8,5,10,85
8,6,10,86
8,7,10,87
8,8,10,88
8,9,10,89
9,0,10,90
9,1,10,91
9,2,10,92
9,3,10,93
9,4,10,94
9,5,10,95
9,6,10,96
9,7,10,97
9,8,10,98
9,9,10,99
0,0,11,0
0,1,11,1
0,2,11,2
0,3,11,3
0,4,11,4
0,5,11,5
0,6,11,6
0,7,11,7
0,8,11,8
0,9,11,9
0,10,11,10
1,0,11,11
1,1,11,12
1,2,11,13
1,3,11,14
1,4,11,15
1,5,11,16
1,6,11,17
1,7,11,18
1,8,11,19
1,9,11,20
1,10,11,21
2,0,11,22
2,1,11,23
2,2,11,24
2,3,11,25
2,4,11,26
2,5,11,27
2,6,11,28
2,7,11,29
2,8,11,30
2,9,11,31
2,10,11,32
3,0,11,33
3,1,11,34
3,2,11,35
3,3,11,36
3,4,11,37
3,5,11,38
3,6,11,39
3,7,11,40
3,8,11,41
3,9,11,42
3,10,11,43
4,0,11,44
4,1,11,45
4,2,11,46
4,3,11,47
4,4,11,48
4,5,11,49
4,6,11,50
4,7,11,51
4,8,11,52
4,9,11,53
4,10,11,54
5,0,11,55
5,1,11,56
5,2,11,57
5,3,11,58
5,4,11,59
5,5,11,60
5,6,11,61
5,7,11,62
5,8,11,63
5,9,11,64
5,10,11,65
6,0,11,66
6,1,11,67
6,2,11,68
6,3,11,69
6,4,11,70
6,5,11,71
6,6,11,72
6,7,11,73
6,8,11,74
6,9,11,75
6,10,11,76
7,0,11,77
7,1,11,78
7,2,11,79
7,3,11,80
7,4,11,81
7,5,11,82
7,6,11,83
7,7,11,84
7,8,11,85
7,9,11,86
7,10,11,87
8,0,11,88
8,1,11,89
8,2,11,90
8,3,11,91
8,4,11,92
8,5,11,93
8,6,11,94
8,7,11,95
8,8,11,96
8,9,11,97
8,10,11,98
9,0,11,99
9,1,11,100
9,2,11,101
9,3,11,102
9,4,11,103
9,5,11,104
9,6,11,105
9,7,11,106
9,8,11,107
9,9,11,108
9,10,11,109
10,0,11,110
10,1,11,111
10,2,11,112
10,3,11,113
10,4,11,114
10,5,11,115
10,6,11,116
10,7,11,117
10,8,11,118
10,9,11,119
10,10,11,120
0,0,12,0
0,1,12,1
0,2,12,2
0,3,12,3
0,4,12,4
0,5,12,5
0,6,12,6
0,7,12,7
0,8,12,8
0,9,12,9
0,10,12,10
0,11,12,11
1,0,12,12
1,1,12,13
1,2,12,14
1,3,12,15
1,4,12,16
1,5,12,17
1,6,12,18
1,7,12,19
1,8,12,20
1,9,12,21
1,10,12,22
1,11,12,23
2,0,12,24
2,1,12,25
2,2,12,26
2,3,12,27
2,4,12,28
2,5,12,29
2,6,12,30
2,7,12,31
2,8,12,32
2,9,12,33
2,10,12,34
2,11,12,35
3,0,12,36
3,1,12,37
3,2,12,38
3,3,12,39
3,4,12,40
3,5,12,41
3,6,12,42
3,7,12,43
3,8,12,44
3,9,12,45
3,10,12,46
3,11,12,47
4,0,12,48
4,1,12,49
4,2,12,50
4,3,12,51
4,4,12,52
4,5,12,53
4,6,12,54
4,7,12,55
4,8,12,56
4,9,12,57
4,10,12,58
4,11,12,59
5,0,12,60
5,1,12,61
5,2,12,62
5,3,12,63
5,4,12,64
5,5,12,65
5,6,12,66
5,7,12,67
5,8,12,68
5,9,12,69
5,10,12,70
5,11,12,71
6,0,12,72
6,1,12,73
6,2,12,74
6,3,12,75
6,4,12,76
6,5,12,77
6,6,12,78
6,7,12,79
6,8,12,80
6,9,12,81
6,10,12,82
6,11,12,83
7,0,12,84
7,1,12,85
7,2,12,86
7,3,12,87
7,4,12,88
7,5,12,89
7,6,12,90
7,7,12,91
7,8,12,92
7,9,12,93
7,10,12,94
7,11,12,95
8,0,12,96
8,1,12,97
8,2,12,98
8,3,12,99
8,4,12,100
8,5,12,101
8,6,12,102
8,7,12,103
8,8,12,104
8,9,12,105
8,10,12,106
8,11,12,107
9,0,12,108
9,1,12,109
9,2,12,110
9,3,12,111
9,4,12,112
9,5,12,113
9,6,12,114
9,7,12,115
9,8,12,116
9,9,12,117
9,10,12,118
9,11,12,119
10,0,12,120
10,1,12,121
10,2,12,122
10,3,12,123
10,4,12,124
10,5,12,125
10,6,12,126
10,7,12,127
10,8,12,128
10,9,12,129
10,10,12,130
10,11,12,131
11,0,12,132
11,1,12,133
11,2,12,134
11,3,12,135
11,4,12,136
11,5,12,137
11,6,12,138
11,7,12,139
11,8,12,140
11,9,12,141
11,10,12,142
11,11,12,143
0,0,13,0
0,1,13,1
0,2,13,2
0,3,13,3
0,4,13,4
0,5,13,5
0,6,13,6
0,7,13,7
0,8,13,8
0,9,13,9
0,10,13,10
0,11,13,11
0,12,13,12
1,0,13,13
1,1,13,14
1,2,13,15
1,3,13,16
1,4,13,17
1,5,13,18
1,6,13,19
1,7,13,20
1,8,13,21
1,9,13,22
1,10,13,23
1,11,13,24
1,12,13,25
2,0,13,26
2,1,13,27
2,2,13,28
2,3,13,29
2,4,13,30
2,5,13,31
2,6,13,32
2,7,13,33
2,8,13,34
2,9,13,35
2,10,13,36
2,11,13,37
2,12,13,38
3,0,13,39
3,1,13,40
3,2,13,41
3,3,13,42
3,4,13,43
3,5,13,44
3,6,13,45
3,7,13,46
3,8,13,47
3,9,13,48
3,10,13,49
3,11,13,50
3,12,13,51
4,0,13,52
4,1,13,53
4,2,13,54
4,3,13,55
4,4,13,56
4,5,13,57
4,6,13,58
4,7,13,59
4,8,13,60
4,9,13,61
4,10,13,62
4,11,13,63
4,12,13,64
5,0,13,65
5,1,13,66
5,2,13,67
5,3,13,68
5,4,13,69
5,5,13,70
5,6,13,71
5,7,13,72
5,8,13,73
5,9,13,74
5,10,13,75
5,11,13,76
5,12,13,77
6,0,13,78
6,1,13,79
6,2,13,80
6,3,13,81
6,4,13,82
6,5,13,83
6,6,13,84
6,7,13,85
6,8,13,86
6,9,13,87
6,10,13,88
6,11,13,89
6,12,13,90
7,0,13,91
7,1,13,92
7,2,13,93
7,3,13,94
7,4,13,95
7,5,13,96
7,6,13,97
7,7,13,98
7,8,13,99
7,9,13,100
7,10,13,101
7,11,13,102
7,12,13,103
8,0,13,104
8,1,13,105
8,2,13,106
8,3,13,107
8,4,13,108
8,5,13,109
8,6,13,110
8,7,13,111
8,8,13,112
8,9,13,113
8,10,13,114
8,11,13,115
8,12,13,116
9,0,13,117
9,1,13,118
9,2,13,119
9,3,13,120
9,4,13,121
9,5,13,122
9,6,13,123
9,7,13,124
9,8,13,125
9,9,13,126
9,10,13,127
9,11,13,128
9,12,13,129
10,0,13,130
10,1,13,131
10,2,13,132
10,3,13,133
10,4,13,134
10,5,13,135
10,6,13,136
10,7,13,137
10,8,13,138
10,9,13,139
10,10,13,140
10,11,13,141
10,12,13,142
11,0,13,143
11,1,13,144
11,2,13,145
11,3,13,146
11,4,13,147
11,5,13,148
11,6,13,149
11,7,13,150
11,8,13,151
11,9,13,152
11,10,13,153
11,11,13,154
11,12,13,155
12,0,13,156
12,1,13,157
12,2,13,158
12,3,13,159
12,4,13,160
12,5,13,161
12,6,13,162
12,7,13,163
12,8,13,164
12,9,13,165
12,10,13,166
12,11,13,167
12,12,13,168
0,0,14,0
0,1,14,1
0,2,14,2
0,3,14,3
0,4,14,4
0,5,14,5
0,6,14,6
0,7,14,7
0,8,14,8
0,9,14,9
0,10,14,10
0,11,14,11
0,12,14,12
0,13,14,13
1,0,14,14
1,1,14,15
1,2,14,16
1,3,14,17
1,4,14,18
1,5,14,19
1,6,14,20
1,7,14,21
1,8,14,22
1,9,14,23
1,10,14,24
1,11,14,25
1,12,14,26
1,13,14,27
2,0,14,28
2,1,14,29
2,2,14,30
2,3,14,31
2,4,14,32
2,5,14,33
2,6,14,34
2,7,14,35
2,8,14,36
2,9,14,37
2,10,14,38
2,11,14,39
2,12,14,40
2,13,14,41
3,0,14,42
3,1,14,43
3,2,14,44
3,3,14,45
3,4,14,46
3,5,14,47
3,6,14,48
3,7,14,49
3,8,14,50
3,9,14,51
3,10,14,52
3,11,14,53
3,12,14,54
3,13,14,55
4,0,14,56
4,1,14,57
4,2,14,58
4,3,14,59
4,4,14,60
4,5,14,61
4,6,14,62
4,7,14,63
4,8,14,64
4,9,14,65
4,10,14,66
4,11,14,67
4,12,14,68
4,13,14,69
5,0,14,70
5,1,14,71
5,2,14,72
5,3,14,73
5,4,14,74
5,5,14,75
5,6,14,76
5,7,14,77
5,8,14,78
5,9,14,79
5,10,14,80
5,11,14,81
5,12,14,82
5,13,14,83
6,0,14,84
6,1,14,85
6,2,14,86
6,3,14,87
6,4,14,88
6,5,14,89
6,6,14,90
6,7,14,91
6,8,14,92
6,9,14,93
6,10,14,94
6,11,14,95
6,12,14,96
6,13,14,97
7,0,14,98
7,1,14,99
7,2,14,100
7,3,14,101
7,4,14,102
7,5,14,103
7,6,14,104
7,7,14,105
7,8,14,106
7,9,14,107
7,10,14,108
7,11,14,109
7,12,14,110
7,13,14,111
8,0,14,112
8,1,14,113
8,2,14,114
8,3,14,115
8,4,14,116
8,5,14,117
8,6,14,118
8,7,14,119
8,8,14,120
8,9,14,121
8,10,14,122
8,11,14,123
8,12,14,124
8,13,14,125
9,0,14,126
9,1,14,127
9,2,14,128
9,3,14,129
9,4,14,130
9,5,14,131
9,6,14,132
9,7,14,133
9,8,14,134
9,9,14,135
9,10,14,136
9,11,14,137
9,12,14,138
9,13,14,139
10,0,14,140
10,1,14,141
10,2,14,142
10,3,14,143
10,4,14,144
10,5,14,145
10,6,14,146
10,7,14,147
10,8,14,148
10,9,14,149
10,10,14,150
10,11,14,151
10,12,14,152
10,13,14,153
11,0,14,154
11,1,14,155
11,2,14,156
11,3,14,157
11,4,14,158
11,5,14,159
11,6,14,160
11,7,14,161
11,8,14,162
11,9,14,163
11,10,14,164
11,11,14,165
11,12,14,166
11,13,14,167
12,0,14,168
12,1,14,169
12,2,14,170
12,3,14,171
12,4,14,172
12,5,14,173
12,6,14,174
12,7,14,175
12,8,14,176
12,9,14,177
12,10,14,178
12,11,14,179
12,12,14,180
12,13,14,181
13,0,14,182
13,1,14,183
13,2,14,184
13,3,14,185
13,4,14,186
13,5,14,187
13,6,14,188
13,7,14,189
13,8,14,190
13,9,14,191
13,10,14,192
13,11,14,193
13,12,14,194
13,13,14,195
0,0,15,0
0,1,15,1
0,2,15,2
0,3,15,3
0,4,15,4
0,5,15,5
0,6,15,6
0,7,15,7
0,8,15,8
0,9,15,9
0,10,15,10
0,11,15,11
0,12,15,12
0,13,15,13
0,14,15,14
1,0,15,15
1,1,15,16
1,2,15,17
1,3,15,18
1,4,15,19
1,5,15,20
1,6,15,21
1,7,15,22
1,8,15,23
1,9,15,24
1,10,15,25
1,11,15,26
1,12,15,27
1,13,15,28
1,14,15,29
2,0,15,30
2,1,15,31
2,2,15,32
2,3,15,33
2,4,15,34
2,5,15,35
2,6,15,36
2,7,15,37
2,8,15,38
2,9,15,39
2,10,15,40
2,11,15,41
2,12,15,42
2,13,15,43
2,14,15,44
3,0,15,45
3,1,15,46
3,2,15,47
3,3,15,48
3,4,15,49
3,5,15,50
3,6,15,51
3,7,15,52
3,8,15,53
3,9,15,54
3,10,15,55
3,11,15,56
3,12,15,57
3,13,15,58
3,14,15,59
4,0,15,60
4,1,15,61
4,2,15,62
4,3,15,63
4,4,15,64
4,5,15,65
4,6,15,66
4,7,15,67
4,8,15,68
4,9,15,69
4,10,15,70
4,11,15,71
4,12,15,72
4,13,15,73
4,14,15,74
5,0,15,75
5,1,15,76
5,2,15,77
5,3,15,78
5,4,15,79
5,5,15,80
5,6,15,81
5,7,15,82
5,8,15,83
5,9,15,84
5,10,15,85
5,11,15,86
5,12,15,87
5,13,15,88
5,14,15,89
6,0,15,90
6,1,15,91
6,2,15,92
6,3,15,93
6,4,15,94
6,5,15,95
6,6,15,96
6,7,15,97
6,8,15,98
6,9,15,99
6,10,15,100
6,11,15,101
6,12,15,102
6,13,15,103
6,14,15,104
7,0,15,105
7,1,15,106
7,2,15,107
7,3,15,108
7,4,15,109
7,5,15,110
7,6,15,111
7,7,15,112
7,8,15,113
7,9,15,114
7,10,15,115
7,11,15,116
7,12,15,117
7,13,15,118
7,14,15,119
8,0,15,120
8,1,15,121
8,2,15,122
8,3,15,123
8,4,15,124
8,5,15,125
8,6,15,126
8,7,15,127
8,8,15,128
8,9,15,129
8,10,15,130
8,11,15,131
8,12,15,132
8,13,15,133
8,14,15,134
9,0,15,135
9,1,15,136
9,2,15,137
9,3,15,138
9,4,15,139
9,5,15,140
9,6,15,141
9,7,15,142
9,8,15,143
9,9,15,144
9,10,15,145
9,11,15,146
9,12,15,147
9,13,15,148
9,14,15,149
10,0,15,150
10,1,15,151
10,2,15,152
10,3,15,153
10,4,15,154
10,5,15,155
10,6,15,156
10,7,15,157
10,8,15,158
10,9,15,159
10,10,15,160
10,11,15,161
10,12,15,162
10,13,15,163
10,14,15,164
11,0,15,165
11,1,15,166
11,2,15,167
11,3,15,168
11,4,15,169
11,5,15,170
11,6,15,171
11,7,15,172
11,8,15,173
11,9,15,174
11,10,15,175
11,11,15,176
11,12,15,177
11,13,15,178
11,14,15,179
12,0,15,180
12,1,15,181
12,2,15,182
12,3,15,183
12,4,15,184
12,5,15,185
12,6,15,186
12,7,15,187
12,8,15,188
12,9,15,189
12,10,15,190
12,11,15,191
12,12,15,192
12,13,15,193
12,14,15,194
13,0,15,195
13,1,15,196
13,2,15,197
13,3,15,198
13,4,15,199
13,5,15,200
13,6,15,201
13,7,15,202
13,8,15,203
13,9,15,204
13,10,15,205
13,11,15,206
13,12,15,207
13,13,15,208
13,14,15,209
14,0,15,210
14,1,15,211
14,2,15,212
14,3,15,213
14,4,15,214
14,5,15,215
14,6,15,216
14,7,15,217
14,8,15,218
14,9,15,219
14,10,15,220
14,11,15,221
14,12,15,222
14,13,15,223
14,14,15,224
0,0,16,0
0,1,16,1
0,2,16,2
0,3,16,3
0,4,16,4
0,5,16,5
0,6,16,6
0,7,16,7
0,8,16,8
0,9,16,9
0,10,16,10
0,11,16,11
0,12,16,12
0,13,16,13
0,14,16,14
0,15,16,15
1,0,16,16
1,1,16,17
1,2,16,18
1,3,16,19
1,4,16,20
1,5,16,21
1,6,16,22
1,7,16,23
1,8,16,24
1,9,16,25
1,10,16,26
1,11,16,27
1,12,16,28
1,13,16,29
1,14,16,30
1,15,16,31
2,0,16,32
2,1,16,33
2,2,16,34
2,3,16,35
2,4,16,36
2,5,16,37
2,6,16,38
2,7,16,39
2,8,16,40
2,9,16,41
2,10,16,42
2,11,16,43
2,12,16,44
2,13,16,45
2,14,16,46
2,15,16,47
3,0,16,48
3,1,16,49
3,2,16,50
3,3,16,51
3,4,16,52
3,5,16,53
3,6,16,54
3,7,16,55
3,8,16,56
3,9,16,57
3,10,16,58
3,11,16,59
3,12,16,60
3,13,16,61
3,14,16,62
3,15,16,63
4,0,16,64
4,1,16,65
4,2,16,66
4,3,16,67
4,4,16,68
4,5,16,69
4,6,16,70
4,7,16,71
4,8,16,72
4,9,16,73
4,10,16,74
4,11,16,75
4,12,16,76
4,13,16,77
4,14,16,78
4,15,16,79
5,0,16,80
5,1,16,81
5,2,16,82
5,3,16,83
5,4,16,84
5,5,16,85
5,6,16,86
5,7,16,87
5,8,16,88
5,9,16,89
5,10,16,90
5,11,16,91
5,12,16,92
5,13,16,93
5,14,16,94
5,15,16,95
6,0,16,96
6,1,16,97
6,2,16,98
6,3,16,99
6,4,16,100
6,5,16,101
6,6,16,102
6,7,16,103
6,8,16,104
6,9,16,105
6,10,16,106
6,11,16,107
6,12,16,108
6,13,16,109
6,14,16,110
6,15,16,111
7,0,16,112
7,1,16,113
7,2,16,114
7,3,16,115
7,4,16,116
7,5,16,117
7,6,16,118
7,7,16,119
7,8,16,120
7,9,16,121
7,10,16,122
7,11,16,123
7,12,16,124
7,13,16,125
7,14,16,126
7,15,16,127
8,0,16,128
8,1,16,129
8,2,16,130
8,3,16,131
8,4,16,132
8,5,16,133
8,6,16,134
8,7,16,135
8,8,16,136
8,9,16,137
8,10,16,138
8,11,16,139
8,12,16,140
8,13,16,141
8,14,16,142
8,15,16,143
9,0,16,144
9,1,16,145
9,2,16,146
9,3,16,147
9,4,16,148
9,5,16,149
9,6,16,150
9,7,16,151
9,8,16,152
9,9,16,153
9,10,16,154
9,11,16,155
9,12,16,156
9,13,16,157
9,14,16,158
9,15,16,159
10,0,16,160
10,1,16,161
10,2,16,162
10,3,16,163
10,4,16,164
10,5,16,165
10,6,16,166
10,7,16,167
10,8,16,168
10,9,16,169
10,10,16,170
10,11,16,171
10,12,16,172
10,13,16,173
10,14,16,174
10,15,16,175
11,0,16,176
11,1,16,177
11,2,16,178
11,3,16,179
11,4,16,180
11,5,16,181
11,6,16,182
11,7,16,183
11,8,16,184
11,9,16,185
11,10,16,186
11,11,16,187
11,12,16,188
11,13,16,189
11,14,16,190
11,15,16,191
12,0,16,192
12,1,16,193
12,2,16,194
12,3,16,195
12,4,16,196
12,5,16,197
12,6,16,198
12,7,16,199
12,8,16,200
12,9,16,201
12,10,16,202
12,11,16,203
12,12,16,204
12,13,16,205
12,14,16,206
12,15,16,207
13,0,16,208
13,1,16,209
13,2,16,210
13,3,16,211
13,4,16,212
13,5,16,213
13,6,16,214
13,7,16,215
13,8,16,216
13,9,16,217
13,10,16,218
13,11,16,219
13,12,16,220
13,13,16,221
13,14,16,222
13,15,16,223
14,0,16,224
14,1,16,225
14,2,16,226
14,3,16,227
14,4,16,228
14,5,16,229
14,6,16,230
14,7,16,231
14,8,16,232
14,9,16,233
14,10,16,234
14,11,16,235
14,12,16,236
14,13,16,237
14,14,16,238
14,15,16,239
15,0,16,240
15,1,16,241
15,2,16,242
15,3,16,243
15,4,16,244
15,5,16,245
15,6,16,246
15,7,16,247
15,8,16,248
15,9,16,249
15,10,16,250
15,11,16,251
15,12,16,252
15,13,16,253
15,14,16,254
15,15,16,255
0,0,17,0
0,1,17,1
0,2,17,2
0,3,17,3
0,4,17,4
0,5,17,5
0,6,17,6
0,7,17,7
0,8,17,8
0,9,17,9
0,10,17,10
0,11,17,11
0,12,17,12
0,13,17,13
0,14,17,14
0,15,17,15
0,16,17,16
1,0,17,17
1,1,17,18
1,2,17,19
1,3,17,20
1,4,17,21
1,5,17,22
1,6,17,23
1,7,17,24
1,8,17,25
1,9,17,26
1,10,17,27
1,11,17,28
1,12,17,29
1,13,17,30
1,14,17,31
1,15,17,32
1,16,17,33
2,0,17,34
2,1,17,35
2,2,17,36
2,3,17,37
2,4,17,38
2,5,17,39
2,6,17,40
2,7,17,41
2,8,17,42
2,9,17,43
2,10,17,44
2,11,17,45
2,12,17,46
2,13,17,47
2,14,17,48
2,15,17,49
2,16,17,50
3,0,17,51
3,1,17,52
3,2,17,53
3,3,17,54
3,4,17,55
3,5,17,56
3,6,17,57
3,7,17,58
3,8,17,59
3,9,17,60
3,10,17,61
3,11,17,62
3,12,17,63
3,13,17,64
3,14,17,65
3,15,17,66
3,16,17,67
4,0,17,68
4,1,17,69
4,2,17,70
4,3,17,71
4,4,17,72
4,5,17,73
4,6,17,74
4,7,17,75
4,8,17,76
4,9,17,77
4,10,17,78
4,11,17,79
4,12,17,80
4,13,17,81
4,14,17,82
4,15,17,83
4,16,17,84
5,0,17,85
5,1,17,86
5,2,17,87
5,3,17,88
5,4,17,89
5,5,17,90
5,6,17,91
5,7,17,92
5,8,17,93
5,9,17,94
5,10,17,95
5,11,17,96
5,12,17,97
5,13,17,98
5,14,17,99
5,15,17,100
5,16,17,101
6,0,17,102
6,1,17,103
6,2,17,104
6,3,17,105
6,4,17,106
6,5,17,107
6,6,17,108
6,7,17,109
6,8,17,110
6,9,17,111
6,10,17,112
6,11,17,113
6,12,17,114
6,13,17,115
6,14,17,116
6,15,17,117
6,16,17,118
7,0,17,119
7,1,17,120
7,2,17,121
7,3,17,122
7,4,17,123
7,5,17,124
7,6,17,125
7,7,17,126
7,8,17,127
7,9,17,128
7,10,17,129
7,11,17,130
7,12,17,131
7,13,17,132
7,14,17,133
7,15,17,134
7,16,17,135
8,0,17,136
8,1,17,137
8,2,17,138
8,3,17,139
8,4,17,140
8,5,17,141
8,6,17,142
8,7,17,143
8,8,17,144
8,9,17,145
8,10,17,146
8,11,17,147
8,12,17,148
8,13,17,149
8,14,17,150
8,15,17,151
8,16,17,152
9,0,17,153
9,1,17,154
9,2,17,155
9,3,17,156
9,4,17,157
9,5,17,158
9,6,17,159
9,7,17,160
9,8,17,161
9,9,17,162
9,10,17,163
9,11,17,164
9,12,17,165
9,13,17,166
9,14,17,167
9,15,17,168
9,16,17,169
10,0,17,170
10,1,17,171
10,2,17,172
10,3,17,173
10,4,17,174
10,5,17,175
10,6,17,176
10,7,17,177
10,8,17,178
10,9,17,179
10,10,17,180
10,11,17,181
10,12,17,182
10,13,17,183
10,14,17,184
10,15,17,185
10,16,17,186
11,0,17,187
11,1,17,188
11,2,17,189
11,3,17,190
11,4,17,191
11,5,17,192
11,6,17,193
11,7,17,194
11,8,17,195
11,9,17,196
11,10,17,197
11,11,17,198
11,12,17,199
11,13,17,200
11,14,17,201
11,15,17,202
11,16,17,203
12,0,17,204
12,1,17,205
12,2,17,206
12,3,17,207
12,4,17,208
12,5,17,209
12,6,17,210
12,7,17,211
12,8,17,212
12,9,17,213
12,10,17,214
12,11,17,215
12,12,17,216
12,13,17,217
12,14,17,218
12,15,17,219
12,16,17,220
13,0,17,221
13,1,17,222
13,2,17,223
13,3,17,224
13,4,17,225
13,5,17,226
13,6,17,227
13,7,17,228
13,8,17,229
13,9,17,230
13,10,17,231
13,11,17,232
13,12,17,233
13,13,17,234
13,14,17,235
13,15,17,236
13,16,17,237
14,0,17,238
14,1,17,239
14,2,17,240
14,3,17,241
14,4,17,242
14,5,17,243
14,6,17,244
14,7,17,245
14,8,17,246
14,9,17,247
14,10,17,248
14,11,17,249
14,12,17,250
14,13,17,251
14,14,17,252
14,15,17,253
14,16,17,254
15,0,17,255
